Week,avocado: (United States),organic: (United States),avocado recipe: (United States),avocado toast: (United States),avocado sandwich: (United States),organic avocado: (United States)
2015-01-04,46,76,84,8,51,10
2015-01-11,48,79,76,8,38,29
2015-01-18,48,82,84,9,66,27
2015-01-25,49,82,89,8,44,28
2015-02-01,52,81,82,7,46,42
2015-02-08,41,80,67,8,60,40
2015-02-15,40,80,61,7,48,17
2015-02-22,41,82,55,8,50,23
2015-03-01,44,83,72,9,38,26
2015-03-08,41,80,66,7,47,31
2015-03-15,43,81,69,7,46,34
2015-03-22,45,83,68,10,60,40
2015-03-29,45,81,62,9,55,38
2015-04-05,46,81,66,8,37,35
2015-04-12,47,84,72,10,56,19
2015-04-19,47,88,74,11,57,15
2015-04-26,45,84,64,10,45,15
2015-05-03,50,84,80,11,65,15
2015-05-10,45,84,71,9,57,23
2015-05-17,47,81,74,10,64,36
2015-05-24,47,80,77,10,68,29
2015-05-31,46,80,65,8,71,31
2015-06-07,46,78,82,9,64,21
2015-06-14,46,73,73,9,50,26
2015-06-21,47,75,67,10,42,19
2015-06-28,49,71,83,11,58,52
2015-07-05,48,73,80,11,34,32
2015-07-12,48,73,87,9,49,16
2015-07-19,46,74,79,9,44,32
2015-07-26,45,72,78,9,48,21
2015-08-02,44,72,64,8,49,21
2015-08-09,45,71,75,10,41,21
2015-08-16,47,71,63,9,49,31
2015-08-23,46,79,64,7,35,28
2015-08-30,44,84,63,7,45,25
2015-09-06,40,83,66,9,45,20
2015-09-13,36,88,52,8,38,34
2015-09-20,35,83,46,9,38,12
2015-09-27,36,83,47,9,32,29
2015-10-04,37,85,44,12,38,26
2015-10-11,35,82,50,8,40,32
2015-10-18,35,82,50,10,30,24
2015-10-25,36,81,46,8,34,21
2015-11-01,36,79,49,9,45,28
2015-11-08,34,78,44,9,31,12
2015-11-15,29,75,53,9,43,30
2015-11-22,32,66,69,7,29,26
2015-11-29,31,75,43,8,19,24
2015-12-06,31,77,46,8,36,21
2015-12-13,32,75,38,8,32,19
2015-12-20,38,56,50,9,34,14
2015-12-27,44,68,73,14,35,30
2016-01-03,53,84,84,17,53,30
2016-01-10,55,82,82,21,60,27
2016-01-17,57,87,86,18,65,37
2016-01-24,55,90,70,17,41,39
2016-01-31,57,90,95,17,63,34
2016-02-07,56,89,92,15,44,40
2016-02-14,51,90,76,16,45,21
2016-02-21,54,93,79,19,52,50
2016-02-28,54,90,74,19,44,28
2016-03-06,53,91,78,19,60,31
2016-03-13,60,88,79,18,47,25
2016-03-20,56,89,76,18,50,28
2016-03-27,55,90,69,18,52,43
2016-04-03,59,94,74,19,61,29
2016-04-10,59,93,80,22,57,45
2016-04-17,60,95,73,22,54,27
2016-04-24,60,93,73,22,65,25
2016-05-01,68,96,98,25,57,44
2016-05-08,62,91,82,24,76,31
2016-05-15,61,91,88,20,57,28
2016-05-22,59,88,91,21,53,26
2016-05-29,57,83,78,20,60,31
2016-06-05,56,82,73,22,61,26
2016-06-12,54,78,55,25,69,30
2016-06-19,51,76,80,23,59,31
2016-06-26,57,76,85,25,39,35
2016-07-03,55,73,76,25,51,49
2016-07-10,52,75,69,20,41,23
2016-07-17,54,73,58,26,52,34
2016-07-24,50,73,51,21,23,25
2016-07-31,47,73,62,25,64,46
2016-08-07,45,71,51,21,63,17
2016-08-14,45,72,59,23,35,44
2016-08-21,47,78,52,24,47,27
2016-08-28,45,83,47,20,43,22
2016-09-04,46,86,63,19,37,22
2016-09-11,41,89,52,19,42,38
2016-09-18,40,89,57,19,40,27
2016-09-25,38,89,50,17,52,19
2016-10-02,36,86,35,14,42,21
2016-10-09,36,83,42,14,47,20
2016-10-16,36,83,42,16,47,29
2016-10-23,38,82,36,14,36,23
2016-10-30,33,80,37,15,21,21
2016-11-06,33,71,37,16,41,27
2016-11-13,32,83,45,14,15,25
2016-11-20,30,72,36,13,35,18
2016-11-27,31,82,34,15,32,16
2016-12-04,34,83,33,15,44,21
2016-12-11,34,78,33,15,35,25
2016-12-18,35,68,50,16,43,27
2016-12-25,41,66,47,19,30,22
2017-01-01,55,80,79,31,60,38
2017-01-08,57,86,71,33,51,29
