date,averageprice,totalvolume,4046,4225,4770,totalbags,smallbags,largebags,xlargebags,type,year,region,gst_avocado,gst_organic,gst_avocado_recipe,gst_avocado_toast,gst_avocado_sandwich,gst_organic_avocado,season
2015-01-04,1.22,40873.28,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0.0,conventional,2015,Albany,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.79,1373.95,57.42,153.88,0.0,1162.65,1162.65,0.0,0.0,organic,2015,Albany,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.0,435021.49,364302.39,23821.16,82.15,46815.79,16707.15,30108.64,0.0,conventional,2015,Atlanta,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.76,3846.69,1500.15,938.35,0.0,1408.19,1071.35,336.84,0.0,organic,2015,Atlanta,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.23,788025.06,53987.31,552906.04,39995.03,141136.68,137146.07,3990.61,0.0,conventional,2015,BaltimoreWashington,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.29,19137.28,8040.64,6557.47,657.48,6165.85,6165.85,0.0,0.0,organic,2015,BaltimoreWashington,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.01,80034.32,44562.12,24964.23,2752.35,7755.62,6064.3,1691.32,0.0,conventional,2015,Boise,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.64,1505.12,1.27,1129.5,0.0,374.35,186.67,187.68,0.0,organic,2015,Boise,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.02,491738.0,7193.87,396752.18,128.82,87663.13,87406.84,256.29,0.0,conventional,2015,Boston,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.83,2192.13,8.66,939.43,0.0,1244.04,1244.04,0.0,0.0,organic,2015,Boston,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.4,116253.44,3267.97,55693.04,109.55,57182.88,57182.88,0.0,0.0,conventional,2015,BuffaloRochester,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.73,379.82,0.0,59.82,0.0,320.0,320.0,0.0,0.0,organic,2015,BuffaloRochester,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.93,5777334.9,2843648.26,2267755.26,137479.64,528451.74,477193.38,47882.56,3375.8,conventional,2015,California,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.24,142349.77,107490.73,25711.96,2.93,9144.15,9144.15,0.0,0.0,organic,2015,California,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.19,166006.29,29419.03,47220.75,38568.95,50797.56,38822.26,10613.53,0.0,conventional,2015,Charlotte,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,2.13,2390.22,151.7,882.52,905.77,1025.63,1025.63,0.0,0.0,organic,2015,Charlotte,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.11,783068.03,30270.26,550752.19,124506.1,77539.48,72888.46,4651.02,0.0,conventional,2015,Chicago,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.49,17723.17,1189.35,15628.27,0.0,905.55,905.55,0.0,0.0,organic,2015,Chicago,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.88,228569.58,3274.3,168764.78,1447.06,43475.66,17525.31,37445.46,112.67,conventional,2015,CincinnatiDayton,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.34,8764.33,144.47,6921.75,0.0,1698.11,585.96,1112.15,0.0,organic,2015,CincinnatiDayton,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.89,158638.04,80298.77,51860.47,7609.24,18869.56,16518.15,2132.21,219.2,conventional,2015,Columbus,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.44,3930.94,358.05,2432.81,0.0,1140.08,444.17,695.91,0.0,organic,2015,Columbus,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.76,1086363.97,612795.8,374420.68,9817.28,89330.21,54563.33,34760.08,6.8,conventional,2015,DallasFtWorth,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.35,9895.96,4634.7,1647.92,0.0,3613.34,3613.34,0.0,0.0,organic,2015,DallasFtWorth,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.99,668086.0,117454.09,429518.41,5553.6,115559.9,67894.33,47661.52,4.05,conventional,2015,Denver,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.42,22480.07,3199.35,6916.72,7.56,12356.44,1076.67,11279.77,0.0,organic,2015,Denver,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.01,369694.27,121634.27,117865.11,74062.76,56132.13,46679.86,1060.51,8391.76,conventional,2015,Detroit,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.7,7446.43,361.76,5025.58,0.0,2059.09,746.43,1312.66,0.0,organic,2015,Detroit,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,0.95,258979.63,1097.0,189348.6,22612.46,45921.57,43899.46,1097.68,924.43,conventional,2015,GrandRapids,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.87,1012.61,23.59,772.85,0.0,216.17,210.0,6.17,0.0,organic,2015,GrandRapids,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.02,3382800.12,467259.47,2059657.71,318102.38,537780.56,412779.64,111072.91,13928.01,conventional,2015,GreatLakes,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.54,61615.1,3633.93,42963.06,0.0,15018.11,9763.55,5254.56,0.0,organic,2015,GreatLakes,46.0,76.0,84.0,8.0,51.0,10.0,1
2015-01-04,1.26,203939.14,32679.84,121020.54,1286.19,48952.57,47583.64,1368.93,0.0,conventional,2015,HarrisburgScranton,46.0,76.0,84.0,8.0,51.0,10.0,1
